y_obs,ca_obs,r_obs
-2.408443878544922,-2.0880507547971563,5.382854933657011
-2.4277133771322155,-2.1177648541246206,5.336905691148089
-2.394695059658117,-2.007627956677178,5.31190475655608
-2.349804175375347,-2.3585051449891465,5.299200088548676
-2.340014857484672,-2.5573576385898247,5.347959458099269
-2.3250910762641492,-2.5742068439603827,5.438684685041969
-2.3850960509246018,-2.6468211294360913,5.531930931628779
-2.40715188756742,-2.502703850152696,5.528244910885808
-2.420357821538478,-2.452688160796824,5.546925837475026
-2.406831458709248,-2.4886722514377007,5.55339513425468
-2.4350510113068506,-2.4859327068573,5.5919901260673095
-2.4610663659732834,-2.2790374285824897,5.557427712771474
-2.4916097673918953,-2.1531617152342672,5.491576277777549
-2.4913935621479637,-2.199513377567894,5.441293951046459
-2.4844097593997643,-2.2988893579147165,5.425696416367496
-2.464131176544612,-2.418961392090536,5.455463504970326
-2.4372235115482144,-2.4207405107202744,5.5190391669444905
-2.4007756786875176,-2.6161843127773072,5.587418337316613
-2.4717419388155766,-2.7565868228357533,5.670709385827706
-2.490575208575919,-2.7244214539573397,5.760080138352224
-2.4956720106624215,-2.6782959125077865,5.811491253203697
-2.5114611184222504,-2.770356937706386,5.870006014457592
-2.5415500533111004,-2.8322988961847257,5.904550048970556
-2.5627610049102456,-2.9045857021203507,5.957329262393714
-2.6212679230960663,-2.9277973957264463,6.041367159534776
-2.6490699088740985,-2.858136629333551,6.111469469935146
-2.6846853131657586,-2.8884963497068346,6.162145754008796
-2.695039072233291,-2.857414876547635,6.197928940709638
-2.71047207505735,-2.8801957142731935,6.240083190852688
-2.689080846343561,-2.8341037550179937,6.282546884295745
-2.7333524803917544,-2.8826023387673594,6.377426523129288
-2.7370392100609804,-2.7984191955828988,6.368871481876408
-2.7415368666640787,-2.7884557397998644,6.3906794829786255
-2.7563816646897514,-2.658450059654061,6.441360129354495
-2.832692915913346,-2.621123551442876,6.413780133301294
-2.823519962197112,-2.6537807006194987,6.3615445205655
-2.811066494411448,-2.7802764507543234,6.368255540461005
-2.827238179159858,-2.8627797403087234,6.403937529894185
-2.8346200416424114,-2.934732449058316,6.468070536144561
-2.784257464451661,-2.8404458098051433,6.5630085147114485
-2.8006852241957008,-2.9289184862791595,6.6178025636806215
-2.8419040369477147,-2.847424318770759,6.652407429847155
-2.8361457019019265,-2.8764709327391955,6.688883787016288
-2.832556721500463,-2.859098503356168,6.692803602283873
-2.854531869851288,-2.9487674400251636,6.746298859409055
-2.8728304967286324,-2.914404360004132,6.792333501321214
-2.89262546840368,-2.8163122798150457,6.804337940334686
-2.9160172326805354,-2.752833575009344,6.824943190012866
-2.9507139776003353,-2.668163183049269,6.794411904648068
-2.955709749089909,-2.5982107908923253,6.777156889460074
-2.9846912386790967,-2.5650716824862303,6.73471075266804
-2.9585862003982397,-2.1804832184749348,6.714912750001129
-2.950063687841113,-2.131745395442702,6.56174331211988
-2.9523596985449534,-2.024929371951748,6.4035027799017445
-2.8892470280430715,-1.8322055596573454,6.278404137843126
-2.839430654338833,-1.759552417742363,6.158067562725973
